model,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_mean,roc_std,tn,fp,fn,tp
MultinomialNB,0.9970899470899471,0.003565054079983704,0.8941744966442954,0.027833680526511886,0.9425703819923678,0.014847453723555861,0.9915108715559111,0.0032760699302759144,4823,2,79,668
LogisticRegression,0.9855205367289848,0.008012455715541166,0.8246263982102908,0.016697291204100885,0.8978749314152011,0.012639809162435196,0.991814259716475,0.005178752495946165,4816,9,131,616
LinearSVC-Calibrated,0.9703975840700432,0.009041140728823527,0.918317673378076,0.016725322965163186,0.9435216570096371,0.008847461734745155,0.9928563062906424,0.004440534014585218,4804,21,61,686
HardVoting,0.9937130905511811,0.009180524169828091,0.8513825503355704,0.013216266097257694,0.9170319878795394,0.010843190218763402,0.5,0.0,4821,4,111,636
SoftVoting,0.9892823320037432,0.00801556185504341,0.8754541387024609,0.022916570786264134,0.9287996706273882,0.016028407537076236,0.9926415319168667,0.004577838938907082,4818,7,93,654
Stacking,0.9746763385944819,0.009018039035237714,0.9209753914988814,0.020648396796293763,0.9468810283397776,0.009867370192474531,0.9924534640841071,0.0041750254857384796,4807,18,59,688
AdaBoost_Stumps,0.9406179020071386,0.0186209173012401,0.3199463087248322,0.02127456132676917,0.4771790187339303,0.02510215070013451,0.8974970731763859,0.012319835027553306,4810,15,508,239
